id|district
TR002|SOUTH TRIPURA
ML012|SOUTH WEST GAROHILLS
ML010|SOUTHWEST KHASI HILS
AP033|SRI SATHYA SAI
AP018|SRIKAKULAM
JK006|SRINAGAR
CT019|SUKMA
UP068|SULTANPUR
OR030|SUNDARGARH
BR036|SUPAUL
CT026|SURAJPUR
GJ021|SURAT
GJ022|SURENDRANAGAR
CT016|SURGUJA
TG026|SURYAPET
CT030|Sakti
CT029|Sarangarh-Bilaigarh
DL007|South Delhi
DL010|South East Delhi
DL008|South West Delhi
MN006|TAMENGLONG
GJ026|TAPI
PB018|TARN TARAN
AR007|TAWANG
UA011|TEHRI GARHWAL
MN010|TENGNOUPAL
TN019|TENI
TN046|TENKASI
MH029|THANE
TN020|THANJAVUR
GJ023|THE DANGS
KL012|THIRUVANANTHAPURAM
TN021|THIRUVARUR
MN007|THOUBAL
KL013|THRISSUR
MP041|TIKAMGARH
AS023|TINSUKIA
AR008|TIRAP
TN022|TIRUCHCHIRAPPALLI
TN023|TIRUNELVELI
TN044|TIRUPATHUR
AP034|TIRUPATI
TN040|TIRUPUR
TN024|TIRUVALLUR
TN025|TIRUVANNAMALAI
RJ031|TONK
NL013|TSEMINYU
NL005|TUENSANG
KA024|TUMKUR
TN026|TUTICORIN
RJ032|UDAIPUR
AS025|UDALGURI
UA012|UDHAM SINGH NAGAR
JK014|UDHAMPUR
KA025|UDUPI
MP042|UJJAIN
MN008|UKHRUL
MP043|UMARIA
HP012|UNA
TR008|UNAKOTI
UP069|UNNAO
AR013|UPPER SIANG
AR009|UPPER SIBANSIRI
WB018|UTTAR DINAJPUR
KA026|UTTAR KANNAD
UA013|UTTARKASHI
GJ024|VADODARA
BR037|VAISHALI
GJ025|VALSAD
UP070|VARANASI
TN027|VELLORE
MP044|VIDISHA
KA040|VIJAYANAGARA
TG028|VIKARABAD
TN028|VILUPPURAM
TN029|VIRUDUNAGAR
AP019|VISHAKHAPATNAM
AP020|VIZIANAGARAM
TG023|WANAPARTHY
TG009|WARANGAL
TG017|WARANGAL RURAL
MH030|WARDHA
MH031|WASHIM
KL014|WAYANAD
BR024|WEST CHAMPARAN
ML004|WEST GARO HILLS
AP022|WEST GODAVARI
MN004|WEST IMPHAL
ML009|WEST JAINTIA HILLS
AR010|WEST KAMENG
ML005|WEST KHASI HILLS
AR011|WEST SIANG
JH018|WEST SINGHBHUM
TR003|WEST TRIPURA
NL006|WOKHA
DL009|West Delhi
AS029|West Karbi Anglong
TG027|YADADRI BHUVANAGIRI
KA030|YADGIR
HR015|YAMUNANAGAR
PY004|YANAM
MH032|YAVATMAL
NL007|ZUNHEBOTO
